text,cluster,section_name
"WASHINGTON — The Internal Revenue Service today issued proposed regulationsPDF  reducing the amount determined under Internal Revenue Code section 956 for certain domestic corporations that own (or are treated as owning) stock in controlled foreign corporations (CFCs).  

The Tax Cuts and Jobs Act (TCJA), passed in December 2017, made major changes to the tax law, including enacting a participation exemption system for the taxation of certain foreign income. The new proposed regulations are intended to ensure that the application of section 956 is consistent with the new participation exemption system. 

Treasury and IRS welcome public comments on these proposed regulations. For details on submitting comments, see the proposed regulations.

Updates on the implementation of the TCJA can be found on the Tax Reform page of IRS.gov.",0,Business/Finance
"WASHINGTON — The Internal Revenue Service today announced the nationwide rollout of a streamlined program designed to enable small businesses under audit to more quickly settle their differences with the IRS.

The Fast Track Settlement (FTS) program is designed to help small businesses and self-employed individuals who are under examination by the Small Business/Self Employed (SB/SE) Division of the IRS. Modeled on a similar program long available to large and mid-size businesses (those with more than $10 million in assets), FTS uses alternative dispute resolution techniques to help taxpayers save time and avoid a formal administrative appeal or lengthy litigation. As a result, audit issues can usually be resolved within 60 days, rather than months or years. Plus, taxpayers choosing this option lose none of their rights because they still have the right to appeal even if the FTS process is unsuccessful.  

Jointly administered by SB/SE and the IRS Appeals office, FTS is designed to expedite case resolution. Under FTS, taxpayers under examination with issues in dispute work directly with IRS representatives from SB/SE’s Examination Division and Appeals to resolve those issues, with the Appeals representative typically serving as mediator.

The taxpayer or the IRS examination representative may initiate Fast Track for eligible cases, usually before a 30-day letter is issued. The goal is to complete cases within 60 days of acceptance of the application in Appeals.

SB/SE originally launched FTS as a pilot program in September 2006. For more information on taking advantage of the Fast Track Settlement program, please view the short FTS video. Additional background is available on IRS.gov on the Alternative Dispute Resolution web page and in IRS Announcement 2011-05.",0,Business
"WASHINGTON — The Internal Revenue Service announced today that taxpayers who qualify for the first-time homebuyer credit and purchase a home this year before Dec. 1 have a special option available for claiming the tax credit either on their 2008 tax returns due April 15 or on their 2009 tax returns next year.

Qualifying taxpayers who buy a home this year before Dec. 1 can get up to $8,000, or $4,000 for married filing separately.

“For first-time homebuyers this year, this special feature can put money in their pockets right now rather than waiting another year to claim the tax credit,"" said IRS Commissioner Doug Shulman. “This important change gives qualifying homebuyers cash they do not have to pay back.”

The IRS has posted a revised version of Form 5405, First-Time Homebuyer Credit, on IRS.gov. The revised form incorporates provisions from the American Recovery and Reinvestment Act of 2009. The instructions to the revised Form 5405 provide additional information on who can and cannot claim the credit, income limitations and repayment of the credit.

This year, qualifying taxpayers who buy a home before Dec. 1, 2009, can claim the credit on either their 2008 or 2009 tax returns. They do not have to repay the credit, provided the home remains their main home for 36 months after the purchase date. They can claim 10 percent of the purchase price up to $8,000, or $4,000 for married individuals filing separately.

The amount of the credit begins to phase out for taxpayers whose adjusted gross income is more than $75,000, or $150,000 for joint filers.

For purposes of the credit, you are considered to be a first-time homebuyer if you, and your spouse if you are married, did not own any other main home during the three-year period ending on the date of purchase.

The IRS also alerted taxpayers that the new law does not affect people who purchased a home after April 8, 2008, and on or before Dec. 31, 2008. For these taxpayers who are claiming the credit on their 2008 tax returns, the maximum credit remains 10 percent of the purchase price, up to $7,500, or $3,750 for married individuals filing separately. In addition, the credit for these 2008 purchases must be repaid in 15 equal installments over 15 years, beginning with the 2010 tax year.",0,Finance
"WASHINGTON — The Treasury Department and Internal Revenue Service issued proposed regulations to reflect changes from the Tax Cuts and Jobs Act (TCJA) on the tax deductibility of officers' compensation by publicly held corporations.

On Aug. 21, 2018, the Treasury Department and IRS released Notice 2018-68PDF. This notice provided initial guidance on this deduction limitation.

Section 162(m) disallows the deduction by any publicly held corporation for compensation paid in any  taxable year to a covered employee that exceeds $1 million. The proposed regulations update the definitions of covered employee, publicly held corporation and applicable employee compensation.

The TCJA also provided a transition, or ""grandfather"" rule, for certain outstanding compensatory arrangements. Specifically, the TCJA changes do not apply to compensation that is provided to a covered employee under a written binding contract that was in effect on Nov. 2, 2017 and was not modified on or after that date. The proposed regulations further explain the grandfather rule, including when a contract will be considered materially modified so that it is no longer considered ""grandfathered."" The TCJA changes apply to tax years beginning after Dec. 31, 2017, except to the extent the grandfather rule applies.

Taxpayers may rely on these proposed regulations for tax years before the final regulations are effective.

IRS and Treasury welcome public comments. For details, see the proposed regulations now available in the Federal Register.

Updates on the implementation of the TCJA can be found on the Tax Reform page of IRS.gov.",0,Business
"WASHINGTON —– Today the Treasury Department and Internal Revenue Service issued final regulations relating to section 1031 like-kind exchanges. These final regulations address the definition of real property under section 1031 and also provide a rule addressing the receipt of personal property that is incidental to real property received in a like-kind exchange.

The 2017 Tax Cuts and Jobs Act (TCJA) limited like-kind exchange treatment to exchanges of real property. As of January 1, 2018, exchanges of personal or intangible property such as vehicles, artwork, collectibles, patents, and other intellectual property generally do not qualify for nonrecognition of gain as like-kind exchanges. Also, like-kind exchange treatment applies only to exchanges of real property held for use in a trade or business or for investment. An exchange of real property held primarily for sale does not qualify as a like-kind exchange.

Under the final regulations, real property includes land and generally anything permanently built on or attached to land. In general, real property also includes property that is characterized as real property under applicable State or local law. In addition, certain intangible property, such as leaseholds or easements, qualifies as real property under section 1031. Property not eligible for like-kind exchange treatment prior to enactment of the TCJA remains ineligible. Neither the TCJA nor the final regulations change whether the properties exchanged are of like kind.

To report a like-kind exchange, taxpayers must file Form 8824, Like-Kind Exchanges, with their tax return for the year they transfer property as part of a like-kind exchange. This form helps taxpayers figure the amount of gain deferred as a result of the like-kind exchange, as well as the basis of the like-kind property received. Form 8824 also helps taxpayers compute the amount of gain they must report if cash or property that isn't of a like-kind is involved in the exchange.",0,Business/Finance
"WASHINGTON — Approximately four hundred U.S. colleges and universities will begin receiving compliance questionnaires from the Internal Revenue Service in the next few days as part of the agency’s focused effort to study key areas in the tax-exempt community.  The college and university questionnaire will focus on unrelated business income, endowments and executive compensation practices.  The questionnaires are being sent to a cross-section of small, mid-sized and large private and public four-year colleges and institutions.

Private nonprofit universities are generally exempt from tax under Internal Revenue Code section 501(c)(3) and like state universities are subject to unrelated business income tax. 

“This effort reflects our work to build a better understanding of the largest, most complex organizations in the tax-exempt sector,” said Doug Shulman, IRS commissioner.  “The information gathered will help us identify issues and areas that may need more outreach and education or further scrutiny.”

Among other things, the questionnaire will gather information from the schools about how they report revenues and expenses from their trade or business activities, classify their activities as exempt or taxable activities, and calculate and report income or losses on taxable activities.  The questionnaire also will gather information regarding how the organization invests and uses its endowment funds and determines compensation of certain highly paid individuals.

The IRS said it expects to receive most of the responses within the next several months, analyze the results of the compliance questionnaire and conduct examinations of a sample of the organizations.  The IRS said it expects to issue a report on the project in 2009.",0,Education
"Los Angeles (CNN) -- American-based firms that use legal loopholes to avoid paying U.S. taxes have effectively renounced any allegiance to their home country, President Barack Obama will claim during remarks at a community college here on Thursday. Taking up a harsh new attack against companies that establish residency in tax havens like the Caymen Islands and Bermuda while keeping the bulk of their operations in the United States, Obama will call on Congress to mend a loophole allowing billions in tax revenue to slip through the government's fingers. A White House official, previewing Obama's remarks, said the President would make the case on Thursday that tax-avoiding companies ""are essentially renouncing their American citizenship so that they can ship their profits overseas to avoid paying taxes -- even as they benefit from all the advantages of being here in America."" The White House has aimed this week to advance the President's domestic agenda, focusing on jobs programs and the economy. Bolstering the middle class has formed much of Obama's midterm election year pitch. But world events -- including Israel's ground invasion of Gaza and furor over the downed airliner in Ukraine -- have largely overshadowed the intended topics this week, despite the White House's attempts to highlight new job training measures. Obama's remarks Thursday, which he'll deliver at a technical college in downtown Los Angeles, come at the end of a three-day fundraising swing which also brought him to Seattle and the Silicon Valley. The event will be the only public showing for Obama during his stay on the West Coast. He withstood some criticism for not canceling the trip, which aides countered by saying the president could conduct his job from anywhere. The White House did, however, nix an appearance on ""Jimmy Kimmel Live,"" replacing the late night show with a more sober CNBC interview. Obama will touch on an issue Democrats believe could help them win over voters in this year's midterm contests. The President has long decried the inherent unfairness in large, multimillion dollar corporations that operate chiefly in the United States but pay little in U.S. taxes. He used the issue to attack Republican Mitt Romney during the 2012 presidential campaign. Both Republicans and Democrats say the entire tax code needs an overhaul, but Obama is pressing lawmakers to take action now to prevent so-called ""inversions,"" which allow U.S. companies to merge with foreign firms in countries with lower tax rates. In the past decade, at least 47 U.S. companies have made the move. Several inversions have been proposed this year and more are in the works. ""We should prevent companies from effectively renouncing their citizenship to get out of paying taxes. What we need is a new sense of economic patriotism, where we all rise and fall together,"" said U.S. Treasury Secretary Jack Lew In a letter to lawmakers last week, adding he believed any new measure should prevent companies from gaining tax advantages by incorporating overseas. Lew said a new law should retroactively bar any firm that moved abroad after May 2014 from enjoying lower tax liabilities. CNNMoney's Jeanne Sahadi contributed to this report.",0,Politics
"WASHINGTON — The Treasury Department and the Internal Revenue Service issued guidancePDF today allowing deductions for the payments of eligible expenses when such payments would result (or be expected to result) in the forgiveness of a loan (covered loan) under the Paycheck Protection Program (PPP).

Today's guidance, Revenue Ruling 2021-02PDF, reflects changes to law contained in the COVID-related Tax Relief Act of 2020, enacted as part of the Consolidated Appropriations Act, 2021 (Act), Public Law 116-260, which was signed into law on December 27, 2020.

The COVID-related Tax Relief Act of 2020 amended the Coronavirus Aid, Relief, and Economic Security Act (CARES Act) to say that no deduction is denied, no tax attribute is reduced, and no basis increase is denied by reason of the exclusion from gross income of the forgiveness of an eligible recipient's covered loan. This change applies for taxable years ending after March 27, 2020.

Revenue Ruling 2021-02 obsoletes Notice 2020-32 and Revenue Ruling 2020-27. This obsoleted guidance disallowed deductions for the payment of eligible expenses when the payments resulted (or could be expected to result) in forgiveness of a covered loan.",0,Business/Finance
"WASHINGTON — The Internal Revenue Service, in response to disruptions resulting from Hurricane Ian, will not impose a penalty when dyed diesel fuel with a sulfur content that does not exceed 15 parts-per-million is sold for use or used by emergency vehicles on the highway in the state of Florida.

This relief begins on September 28, 2022, and will remain in effect through October 19, 2022.

This penalty relief is available to any person that sells or uses dyed diesel fuel in an emergency vehicle for highway use. In the case of the operator of the emergency vehicle in which the dyed diesel fuel is used, the relief is available only if the operator or the person selling such fuel pays the tax of 24.4 cents per gallon that is normally applied to diesel fuel for highway use.

The IRS will not impose penalties for failure to make semimonthly deposits of tax for dyed diesel fuel sold for use or used in an emergency vehicle on the highway in the state of Florida during the relief period. IRS Publication 510, Excise Taxes, has information on the proper method for reporting and paying the tax.

Ordinarily, dyed diesel fuel is not taxed, because it is sold for uses exempt from excise tax, such as to farmers for farming purposes, for home heating use, and to local governments.

The IRS is closely monitoring the situation and will provide additional relief as needed.",0,Business
"WASHINGTON — The Treasury Department and the Internal Revenue Service today issued guidance that provides relief to individuals and businesses affected by travel disruptions arising from the COVID-19 emergency.

The guidance includes the following:

Revenue Procedure 2020-20PDF, which provides that, under certain circumstances, up to 60 consecutive calendar days of U.S. presence that are presumed to arise from travel disruptions caused by the COVID-19 emergency will not be counted for purposes of determining U.S. tax residency and for purposes of determining whether an individual qualifies for tax treaty benefits for income from personal services performed in the United States;
 
Revenue Procedure 2020-27 PDF, which provides that qualification for exclusions from gross income under I.R.C. section 911 will not be impacted as a result of days spent away from a foreign country due to the COVID-19 emergency based on certain departure dates; and
 
An FAQ, which provides that certain U.S. business activities conducted by a nonresident alien or foreign corporation will not be counted for up to 60 consecutive calendar days in determining whether the individual or entity is engaged in a U.S. trade or business or has a U.S. permanent establishment, but only if those activities would not have been conducted in the United States but for travel disruptions arising from the COVID-19 emergency.
The Treasury Department and the IRS are continuing to monitor these and other issues related to the COVID-19 emergency, and updated information about relief will continue to be posted on Coronavirus Tax Relief on IRS.gov.",0,Business
